,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Position Category,Class
2272,Bamba Dieng,SEN,FWMF,"['Marseille', 'Lorient']",Ligue 1,22,2000,12,2,288,2.2,1,4,1,45.5,0,0,17,0.0,0.0,0.0,14,19.5,70,193,25,8.18,11.8,69.2,2.27,4.09,55.6,0.91,0.91,100.0,0,1,1,0.91,0.45,0.45,19.5,17.7,1.82,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,14,0,0,2,1,0,0,0,0,0.45,0,0,0,0,0,0,0.0,1,0,0,1,0,0,1,37,1,1,0,1.82,0,1,0,0.0,34.5,0.45,1.82,17.7,15.5,6.82,34.5,4,1,66.7,0.45,33.3,28,158,41,2.27,0,0,3,2,26.4,10.5,0,0,0.0,3,4,0,1,1.82,0,0.0,0.0,3,2,4,47.4,FW,2
2273,Sofiane Diop,FRA,MFFW,"['Nice', 'Monaco']",Ligue 1,22,2000,16,11,954,9.9,2,2,1,33.3,0,0,15,0.1,0.0,0.0,33,48.5,70,499,140,21.0,24.5,85.6,13.2,16.2,81.9,2.73,4.44,61.4,0,2,1,1.01,0.3,4.04,48.5,45.4,3.03,0.71,0.3,0.71,2.83,0.3,1.92,1.01,0.51,0.0,33,0,1,6,4,1,0,0,0,0.0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,16,0,0,0,1.01,1,1,0,0.0,60.8,1.11,10.6,29.4,21.6,2.22,60.8,5,1,40.6,1.82,56.3,47,344,158,3.43,4,2,3,3,44.6,5.96,0,0,0.0,0,2,0,6,0.91,0,0.0,0.0,6,1,0,54.5,MF,2
2274,Kasper Dolberg,DEN,FW,"['Sevilla', 'Hoffenheim']",La Liga,25,1997,9,4,410,2.2,0,1,0,50.0,0,0,16,0.0,0.0,0.0,10,12.7,72,144,19,5.91,8.18,72.2,1.36,2.27,60.0,0.91,1.36,66.7,0,0,0,0.0,0.0,0.91,12.7,10.9,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,41,0,0,0,0.0,0,0,1,0.0,20.9,2.27,3.18,10.5,7.73,2.27,20.9,1,0,33.3,0.0,0.0,14,98,40,0.91,1,0,3,1,14.1,4.09,0,0,0.0,1,1,0,0,0.0,0,0.0,0.0,0,1,2,42.9,FW,2
2275,Ondrej Duda,SVK,MF,"['Hellas Verona', 'Köln']",Serie A,28,1994,15,10,812,1.4,0,1,0,0.0,0,0,19,0.0,0.0,0.0,26,39.3,69,488,105,7.14,10.7,66.7,11.4,15.0,76.2,5.0,8.57,58.3,0,0,3,0.71,0.0,5.0,39.3,37.1,2.14,1.43,0.71,0.71,2.14,0.0,0.71,0.0,0.71,0.0,26,0,2,2,1,0,0,0,0,0.71,0,0,0,0,0,0,0.0,2,1,0,1,0,1,2,55,0,0,0,0.71,1,3,0,0.0,51.4,2.14,7.86,28.6,15.7,0.71,51.4,1,0,0.0,0.0,0.0,25,123,45,0.71,0,0,1,1,20.7,0.71,0,0,0.0,1,2,0,1,1.43,0,0.0,0.0,7,1,1,66.7,MF,0
2276,Kingsley Ehizibue,NED,DF,"['Udinese', 'Köln']",Serie A,27,1995,17,6,683,6.9,1,1,0,20.0,0,0,26,0.0,0.0,0.0,25,41.2,66,444,204,13.0,16.8,77.6,12.6,16.7,75.7,2.9,5.22,55.6,0,0,2,1.01,0.58,3.33,41.2,35.7,5.51,0.14,0.0,0.14,2.61,5.36,0.0,0.0,0.0,0.0,25,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,42,0,1,0,0.58,1,2,2,0.0,51.6,3.19,18.0,17.5,16.7,1.74,51.6,1,0,23.1,1.01,53.8,23,125,59,2.03,1,0,1,0,25.9,3.62,0,0,0.0,2,2,0,1,1.74,0,0.0,0.0,6,1,0,60.0,DF,0
2277,Adri Embarba,ESP,FWMF,"['Almería', 'Espanyol']",La Liga,30,1992,17,9,821,8.7,1,3,0,36.4,0,0,26,0.69,0.0,0.0,16,35.3,64,308,104,9.54,11.8,80.6,7.47,11.0,67.7,3.91,7.7,50.7,0,1,0,0.46,0.11,2.99,35.3,29.3,5.75,0.92,0.0,0.57,8.05,0.34,4.48,2.18,1.61,0.0,16,0,0,4,0,0,2,0,0,0.11,0,0,0,0,0,0,0.0,3,0,0,2,0,1,2,80,0,1,0,1.49,0,3,0,0.0,54.0,0.92,7.47,21.5,26.0,3.1,54.0,8,3,39.0,3.1,45.8,23,177,101,4.14,2,0,3,0,31.1,7.82,0,0,0.11,1,1,0,6,1.84,0,0.0,0.0,5,0,2,20.8,FW,2
2278,Gonzalo Escalante,ARG,MF,"['Cremonese', 'Cádiz']",Serie A,29,1993,12,9,765,6.2,2,1,0,16.7,0,0,16,0.0,0.0,0.0,36,46.8,78,571,191,16.0,18.9,84.6,16.6,19.7,84.4,2.58,5.81,44.4,0,0,4,0.32,0.0,4.84,46.8,45.0,1.29,0.65,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,36,0,1,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,1,0,1,1,50,0,1,0,0.97,1,4,1,0.0,56.8,2.58,16.6,32.1,9.03,1.13,56.8,1,0,20.0,0.48,60.0,26,120,56,0.48,0,0,1,1,36.5,1.29,0,0,0.0,1,0,0,0,1.29,0,0.0,0.0,5,2,1,50.0,MF,0
2279,Wout Faes,BEL,DF,"['Leicester City', 'Reims']",Premier League,24,1998,19,19,1710,16.0,0,0,0,25.0,0,0,7,0.0,0.0,0.0,45,68.4,84,892,331,20.3,22.8,89.0,33.4,35.8,93.5,4.75,8.44,56.3,0,0,2,0.31,0.0,2.94,68.4,67.0,1.38,1.31,0.13,0.38,0.0,0.06,0.0,0.0,0.0,0.0,45,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.06,1,0,0,0,0,0,1,64,0,1,0,0.44,1,3,4,0.06,79.0,12.1,43.6,34.6,1.19,0.44,79.0,0,0,60.0,0.13,40.0,38,180,96,0.25,0,0,0,0,55.2,0.06,0,0,0.0,0,0,0,0,1.19,0,0.0,0.13,5,1,1,56.9,DF,2
2280,Romain Faivre,FRA,FW,"['Lorient', 'Lyon']",Ligue 1,24,1998,12,4,418,1.3,0,1,0,33.3,0,0,20,0.0,0.0,0.0,41,47.7,82,628,246,20.8,22.3,93.1,14.6,19.2,76.0,3.08,6.15,50.0,0,1,5,4.62,0.77,10.0,47.7,41.5,6.15,0.77,0.0,0.0,5.38,0.77,4.62,4.62,0.0,0.0,41,0,0,5,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,16,1,1,0,1.54,0,1,0,0.0,62.3,0.0,4.62,23.8,33.8,3.08,62.3,6,2,60.0,0.77,10.0,47,374,200,8.46,4,1,2,0,43.1,6.92,0,0,0.0,1,2,0,5,0.77,0,0.0,0.0,3,0,0,0.0,FW,2
2281,João Félix,POR,MFFW,"['Chelsea', 'Atlético Madrid']",Premier League,23,1999,16,9,797,1.6,5,4,2,66.7,0,0,18,0.63,0.0,0.0,26,43.1,72,394,121,16.9,20.0,84.4,10.6,12.5,85.0,1.88,6.25,30.0,0,1,3,0.63,0.0,5.0,43.1,35.6,6.25,0.63,0.63,0.0,5.63,0.63,3.75,1.25,2.5,0.0,26,0,1,4,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,8,0,0,0,0.0,0,1,0,0.0,58.1,0.0,5.63,28.8,24.4,5.63,58.1,4,1,50.0,1.88,37.5,30,185,105,5.0,2,0,2,1,43.8,10.6,0,0,0.0,1,3,0,3,1.25,0,0.0,0.0,2,0,1,0.0,MF,2
