,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Position Category,Class
0,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,0,11,0.1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,20,30.0,66,310,90,10.0,10.0,100.0,10.0,10.0,100.0,0.0,10.0,0.0,0,0,0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,10,10,0,0,10,0,0,0,0,0,0,0.0,0,10,0,0.0,50.0,0.0,20.0,20.0,10.0,0.0,50.0,0,0,0.0,0.0,0.0,10,0,0,0.0,0,0,0,0,10.0,0.0,0,0,0.0,0,0,0,0,10.0,0,0.0,0.0,10,0,10,0.0,MF,3
1,Abner,BRA,DF,Betis,La Liga,22,2000,4,3,272,3.0,0,0,0,50.0,0,0,7,0.0,0.0,0.0,39,54.3,71,590,265,20.7,23.3,88.6,13.3,20.0,66.7,2.33,5.67,41.2,0,0,3,0.33,0.0,3.33,54.3,42.3,11.7,0.33,0.0,0.67,1.33,11.3,0.0,0.0,0.0,0.0,39,0,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,2,0,0,2,2,85,0,1,0,0.67,2,4,2,0.0,65.7,4.67,20.7,30.7,15.0,1.67,65.7,1,0,25.0,1.0,75.0,30,112,67,0.67,0,0,1,0,35.0,3.67,0,0,0.0,0,0,0,1,2.33,0,0.0,0.0,6,1,2,33.3,DF,3
2,Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2002,2,0,36,0.4,0,2,0,0.0,0,0,26,0.0,0.0,0.0,45,52.5,85,685,190,17.5,17.5,100.0,25.0,30.0,83.3,0.0,2.5,0.0,0,2,2,0.0,0.0,7.5,52.5,50.0,2.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,45,0,0,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,2,0,0,2,2,100,0,0,0,0.0,0,2,0,0.0,62.5,0.0,10.0,27.5,25.0,0.0,62.5,2,0,0.0,2.5,100.0,52,335,187,5.0,5,0,0,2,47.5,2.5,0,0,0.0,5,0,0,2,2.5,0,0.0,0.0,5,0,0,0.0,FW,3
3,Martin Adeline,FRA,MFFW,Reims,Ligue 1,19,2003,5,0,107,1.2,0,0,0,0.0,0,0,25,0.0,0.0,0.0,24,34.2,70,325,77,10.0,15.0,66.7,9.17,11.7,78.6,0.83,2.5,33.3,0,0,1,0.0,0.0,2.5,34.2,31.7,2.5,0.83,0.0,0.0,0.0,0.83,0.83,0.0,0.0,0.0,24,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,1,0,0,2,3,75,0,2,0,1.67,2,5,2,0.0,49.2,3.33,18.3,18.3,13.3,0.83,49.2,2,0,33.3,1.67,66.7,25,144,69,0.83,0,0,3,1,22.5,0.83,1,0,0.0,4,0,0,0,2.5,0,0.0,0.0,9,5,4,54.5,MF,3
4,Yacine Adli,FRA,MFFW,Milan,Serie A,22,2000,4,1,116,1.3,0,1,1,100.0,0,0,18,0.0,0.0,0.0,29,46.2,63,512,166,14.6,18.5,79.2,9.23,13.8,66.7,3.85,8.46,45.5,0,0,3,1.54,0.0,6.15,46.2,44.6,1.54,0.77,0.0,0.77,3.08,0.77,0.0,0.0,0.0,0.0,29,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,2,1,3,0,1,1,100,0,1,0,1.54,0,5,0,0.0,60.0,0.77,8.46,29.2,24.6,0.77,60.0,0,0,100.0,0.0,0.0,33,217,108,3.85,3,0,1,1,44.6,5.38,0,0,0.0,2,0,0,3,2.31,0,0.0,0.0,3,0,2,0.0,MF,3
5,Lucien Agoume,FRA,MF,Troyes,Ligue 1,21,2002,5,4,286,3.2,0,0,0,0.0,0,0,12,0.0,0.0,0.0,47,57.2,83,832,203,20.9,24.1,87.0,18.4,21.3,86.8,6.25,8.75,71.4,0,0,3,0.94,0.31,5.94,57.2,55.0,1.88,1.25,0.0,0.94,0.94,0.31,0.31,0.31,0.0,0.0,47,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,2,1,1,1,1,2,71,0,0,0,0.31,1,6,1,0.0,69.7,3.13,20.3,36.3,13.4,1.25,69.7,1,0,40.0,0.31,20.0,52,275,113,1.25,1,0,0,0,48.8,0.31,0,0,0.0,2,1,0,0,2.19,0,0.0,0.0,5,3,0,83.3,MF,3
6,Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,23,1999,3,0,49,0.5,0,2,0,0.0,0,0,15,0.0,0.0,0.0,32,50.0,64,598,288,8.0,10.0,80.0,18.0,20.0,90.0,4.0,12.0,33.3,0,2,2,2.0,0.0,4.0,50.0,38.0,12.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,32,0,4,8,6,2,0,0,0,0.0,0,0,0,0,0,0,0.0,2,0,0,2,0,0,0,0,0,2,2,0.0,0,2,0,0.0,66.0,2.0,14.0,26.0,28.0,4.0,66.0,6,0,0.0,4.0,66.7,38,330,48,0.0,4,0,2,4,38.0,4.0,0,0,0.0,6,6,0,2,0.0,0,2.0,0.0,6,2,2,50.0,DF,3
7,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,6,5,515,5.7,0,0,0,0.0,0,0,8,0.0,0.0,0.0,30,39.5,78,633,283,10.0,10.9,91.9,16.5,19.5,84.7,4.04,8.07,50.0,0,0,1,0.35,0.0,1.58,39.5,37.7,1.4,1.4,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,1,1,77,0,1,1,0.18,1,3,4,0.0,50.5,6.32,26.0,23.3,1.58,1.05,50.5,0,0,100.0,0.0,0.0,27,105,51,0.18,0,0,0,0,30.2,0.35,0,0,0.0,0,0,0,0,1.58,0,0.0,0.0,5,1,1,62.5,DF,3
8,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,1,0,20,0.2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,30,50.0,60,395,90,15.0,25.0,60.0,10.0,20.0,50.0,0.0,0.0,0.0,0,0,0,0.0,0.0,5.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,5,0,5,0,0,5,0,5,0,0,0.0,5,10,0,0.0,90.0,0.0,15.0,40.0,35.0,0.0,90.0,5,5,100.0,0.0,0.0,60,370,105,0.0,5,0,20,10,60.0,10.0,0,0,0.0,5,5,0,0,5.0,0,0.0,0.0,10,0,15,0.0,FW,3
9,Maghnes Akliouche,FRA,MFDF,Monaco,Ligue 1,20,2002,6,3,248,2.8,0,0,0,100.0,0,0,8,0.0,0.0,0.0,28,37.9,74,366,113,17.9,21.8,82.0,7.5,10.4,72.4,0.71,1.79,40.0,0,1,2,1.43,0.0,3.93,37.9,35.7,1.79,0.36,0.0,0.0,3.21,1.07,0.36,0.36,0.0,0.0,28,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,1,0,0,1,33,0,0,0,0.36,0,2,0,0.0,47.9,1.43,7.14,19.3,22.1,3.21,47.9,2,0,33.3,1.43,66.7,38,214,94,1.79,1,0,1,2,35.0,7.5,1,0,0.0,1,1,0,3,1.07,0,0.0,0.0,6,0,1,40.0,MF,3
10,Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,6,2,238,2.6,0,0,0,50.0,0,0,25,0.0,0.0,0.0,36,38.8,93,631,125,15.4,16.2,95.2,12.7,13.5,94.3,5.38,5.77,93.3,0,0,3,0.38,0.0,2.31,38.8,37.7,0.77,0.77,0.38,0.77,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,1,2,0,0,2,3,77,0,0,0,0.0,1,5,0,0.38,45.8,3.08,10.4,30.8,5.0,0.0,45.8,0,0,0.0,0.38,100.0,20,53,13,0.0,0,0,0,0,28.5,0.38,0,0,0.0,1,1,0,0,1.92,0,0.0,0.0,6,0,2,14.3,MF,3
11,Tomás Alarcón,CHI,MF,Cádiz,La Liga,24,1999,4,2,223,2.5,0,0,0,50.0,0,0,36,0.0,0.0,0.0,31,38.0,82,675,232,11.2,12.8,87.5,10.8,13.6,79.4,8.0,10.0,80.0,0,0,4,0.4,0.0,3.6,38.0,35.2,2.8,2.0,0.4,1.2,2.4,0.0,0.8,0.4,0.4,0.0,31,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,50,0,0,0,0.4,0,2,0,0.0,45.2,1.2,8.0,27.2,10.0,0.4,45.2,0,0,0.0,0.0,0.0,24,106,32,0.8,0,0,1,1,29.6,2.4,0,0,0.4,1,1,0,2,0.8,0,0.0,0.0,5,1,0,75.0,MF,3
12,Marc Albrighton,ENG,FWMF,Leicester City,Premier League,33,1989,6,1,237,2.6,1,0,0,50.0,0,1,8,0.0,0.0,0.0,34,57.3,60,556,211,18.8,23.5,80.3,8.85,13.1,67.6,4.62,13.1,35.3,0,2,2,1.92,0.77,2.69,57.3,50.4,6.54,0.38,0.38,0.0,10.8,2.69,2.69,0.38,1.15,0.77,34,0,3,3,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,2,14,2,2,0,1.54,0,1,1,0.0,66.9,2.31,12.7,23.8,30.8,1.92,66.9,0,0,100.0,0.0,0.0,31,152,57,1.92,1,0,1,0,44.6,6.92,0,0,0.0,0,0,0,10,0.38,0,0.0,0.0,5,0,0,50.0,FW,3
13,Carlos Alcaraz,ARG,MF,Southampton,Premier League,20,2002,3,1,134,1.5,1,2,0,25.0,0,1,20,0.0,0.0,0.0,24,32.7,75,371,96,12.7,16.7,76.0,9.33,9.33,100.0,1.33,4.67,28.6,0,0,1,0.67,0.0,4.0,32.7,32.7,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,1,50,0,2,1,0.67,0,2,0,0.0,46.0,2.0,9.33,22.7,15.3,2.67,46.0,2,1,50.0,1.33,50.0,33,176,103,2.67,4,0,2,3,30.0,2.0,0,0,0.0,1,0,0,0,1.33,0,0.0,0.0,10,0,1,0.0,MF,3
14,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,1,0,15,0.2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,5,5.0,100,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,10.0,0.0,0.0,5.0,5.0,0.0,10.0,5,0,0.0,5.0,100.0,5,30,0,0.0,5,0,0,0,10.0,0.0,0,0,0.0,10,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,MF,3
15,Dele Alli,ENG,MF,Everton,Premier League,26,1996,2,0,40,0.4,0,0,0,0.0,0,0,0,0.0,0.0,0.0,30,37.5,80,307,25,15.0,20.0,75.0,10.0,12.5,80.0,0.0,0.0,0.0,0,0,5,0.0,0.0,2.5,37.5,32.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,50.0,0.0,2.5,20.0,27.5,5.0,50.0,2,0,0.0,2.5,100.0,27,75,7,0.0,0,0,7,2,35.0,2.5,0,0,0.0,0,2,0,0,0.0,0,0.0,0.0,5,2,5,33.3,MF,3
16,Éder Álvarez Balanta,COL,MF,Schalke 04,Bundesliga,29,1993,1,1,58,0.6,0,0,0,0.0,0,0,0,0.0,0.0,0.0,26,41.7,64,603,135,3.33,6.67,50.0,16.7,20.0,83.3,6.67,11.7,57.1,0,3,3,0.0,0.0,3.33,41.7,40.0,1.67,1.67,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,26,0,1,5,3,0,0,0,0,1.67,0,0,0,0,0,0,0.0,3,3,1,1,0,1,1,100,0,0,0,0.0,1,5,3,0.0,50.0,3.33,28.3,16.7,5.0,0.0,50.0,0,0,0.0,0.0,0.0,25,115,63,0.0,1,0,0,1,28.3,0.0,1,0,0.0,1,0,0,0,3.33,0,0.0,0.0,5,0,0,0.0,MF,3
17,Carlos Álvarez,ESP,FW,Sevilla,La Liga,19,2003,1,0,10,0.1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,10,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,10,0,0.0,10,0,0,0,10.0,0,0.0,0.0,0,0,0,0.0,FW,3
18,Ibrahim Amadou,FRA,DFMF,Angers,Ligue 1,29,1993,6,4,401,4.5,0,0,0,0.0,0,0,24,0.0,0.0,0.0,33,38.9,86,643,259,10.7,11.3,94.1,20.0,21.1,94.7,2.67,5.11,52.2,0,0,0,0.0,0.0,0.89,38.9,38.0,0.89,0.89,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,33,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,1,2,70,0,1,0,0.67,1,3,4,0.0,49.3,11.8,31.8,15.8,2.0,0.44,49.3,0,0,0.0,0.22,100.0,34,180,83,0.0,0,0,0,0,30.4,0.89,0,0,0.0,0,0,0,0,1.33,0,0.44,0.0,5,1,1,54.5,DF,3
19,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,4,1,193,2.1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,24,45.7,53,371,177,13.3,18.6,71.8,8.57,17.1,50.0,1.43,5.24,27.3,0,0,0,0.0,0.0,2.38,45.7,32.9,12.9,0.48,0.0,0.0,2.86,12.4,0.0,0.0,0.0,0.0,24,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,1,33,0,1,0,1.43,1,3,3,0.0,56.2,3.81,15.7,31.0,10.5,0.48,56.2,0,0,0.0,0.48,100.0,19,110,57,1.9,1,0,0,0,20.5,2.38,0,0,0.48,0,0,0,2,0.95,0,0.0,0.0,7,3,1,72.7,DF,3
20,Janis Antiste,FRA,FW,Sassuolo,Serie A,20,2002,2,0,52,0.6,1,1,1,100.0,1,1,17,0.0,0.0,0.0,21,30.0,72,265,71,13.3,18.3,72.7,6.67,8.33,80.0,0.0,1.67,0.0,0,0,0,0.0,0.0,1.67,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,1,1,100,0,0,0,0.0,0,1,0,0.0,38.3,0.0,11.7,15.0,11.7,1.67,38.3,1,0,0.0,1.67,100.0,23,81,15,0.0,0,0,1,0,26.7,3.33,0,0,0.0,6,0,0,0,0.0,0,0.0,0.0,6,3,1,66.7,FW,3
21,Valentin Antov,BUL,DF,Monza,Serie A,22,2000,4,1,172,1.9,0,0,0,0.0,0,0,0,0.0,0.0,0.0,48,58.4,82,867,453,22.1,25.8,85.7,20.5,23.2,88.6,5.26,8.42,62.5,0,0,4,1.05,0.0,4.74,58.4,53.2,5.26,1.05,0.0,0.0,0.53,4.21,0.0,0.0,0.0,0.0,48,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,1,1,0,0,1,33,1,2,1,0.53,0,2,3,0.53,68.9,9.47,34.2,28.4,6.32,0.0,68.9,0,0,100.0,0.0,0.0,30,123,51,0.0,1,0,1,1,40.0,1.58,0,0,0.0,0,0,0,0,2.11,0,0.0,0.0,7,1,3,30.0,DF,3
22,Anuar,MAR,MFFW,Valladolid,La Liga,28,1995,3,3,210,2.3,1,1,0,33.3,0,1,13,0.0,0.0,0.0,13,17.4,75,157,49,7.83,10.0,78.3,3.91,4.35,90.0,0.0,0.0,0.0,0,1,1,0.0,0.0,1.3,17.4,17.0,0.43,0.0,0.0,0.0,0.43,0.43,0.0,0.0,0.0,0.0,13,0,1,1,0,0,0,0,0,0.43,0,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0,2,0,1.3,1,3,1,0.0,30.4,3.48,8.7,13.0,8.7,3.48,30.4,1,0,50.0,0.0,0.0,16,113,55,2.61,0,1,3,1,17.8,1.74,0,0,0.0,1,2,0,0,1.74,0,0.0,0.0,4,0,2,28.6,MF,3
23,Adil Aouchiche,FRA,MFFW,Lorient,Ligue 1,20,2002,6,0,85,0.9,0,3,1,33.3,0,0,16,0.0,0.0,0.0,44,58.9,75,890,233,20.0,21.1,94.7,14.4,20.0,72.2,8.89,15.6,57.1,0,1,5,2.22,0.0,11.1,58.9,50.0,8.89,1.11,0.0,4.44,7.78,0.0,5.56,1.11,3.33,0.0,44,0,1,3,2,0,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,3,0,0,0.0,1,1,0,0.0,70.0,1.11,5.56,42.2,22.2,3.33,70.0,3,0,0.0,2.22,66.7,52,368,212,5.56,1,0,2,1,51.1,5.56,0,0,0.0,2,2,0,7,0.0,0,0.0,0.0,3,0,1,0.0,MF,3
24,Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,7,7,587,6.5,0,0,0,0.0,0,0,27,0.15,0.0,0.0,34,41.5,83,681,203,12.2,13.4,90.8,16.3,18.3,89.1,5.38,8.92,60.3,0,1,3,0.62,0.31,3.69,41.5,35.4,6.15,4.77,0.0,0.62,3.85,0.0,1.38,0.77,0.46,0.15,34,0,0,2,0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,2,15,1,2,0,1.38,1,2,1,0.0,50.0,2.62,10.6,31.1,9.38,0.31,50.0,0,0,100.0,0.0,0.0,24,130,61,0.92,0,0,1,0,27.2,0.62,0,0,0.15,1,1,0,3,0.62,0,0.0,0.0,5,0,0,54.5,MF,3
25,Cameron Archer,ENG,FWMF,Aston Villa,Premier League,21,2001,6,0,49,0.5,0,0,0,0.0,0,0,0,0.0,0.0,0.0,16,24.0,66,216,88,10.0,10.0,100.0,6.0,10.0,60.0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,24.0,22.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,30.0,0.0,2.0,16.0,14.0,6.0,30.0,2,2,100.0,0.0,0.0,30,228,144,6.0,2,2,4,6,26.0,6.0,0,0,0.0,4,2,2,2,0.0,0,0.0,0.0,4,0,0,0.0,FW,3
26,Taïryk Arconte,FRA,FWMF,Brest,Ligue 1,19,2003,2,0,32,0.4,0,2,2,100.0,0,0,9,0.0,0.0,0.0,2,2.5,100,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,2.5,0,0,0,0.0,15.0,0.0,0.0,0.0,15.0,2.5,15.0,2,0,0.0,2.5,100.0,12,95,0,0.0,0,0,0,0,10.0,2.5,0,0,0.0,0,0,2,0,0.0,0,0.0,0.0,0,0,2,0.0,FW,3
27,Roberto Arroyo,ESP,MF,Valladolid,La Liga,19,2003,1,0,15,0.2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,25.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,5,0,5,0,5,5,100,0,0,0,0.0,0,5,0,0.0,35.0,0.0,5.0,15.0,15.0,5.0,35.0,5,5,100.0,0.0,0.0,40,190,125,5.0,0,5,5,10,40.0,20.0,0,0,0.0,0,0,0,5,5.0,0,0.0,0.0,0,0,0,0.0,MF,3
28,Fisnik Asllani,KVX,FWMF,Hoffenheim,Bundesliga,20,2002,4,0,60,0.7,0,2,0,0.0,0,0,8,0.0,0.0,0.0,22,38.6,59,222,42,20.0,28.6,70.0,1.43,4.29,33.3,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,38.6,38.6,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,22,0,1,7,5,0,0,0,0,1.43,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1.43,2,2,0,0.0,51.4,0.0,2.86,14.3,35.7,10.0,51.4,1,0,0.0,1.43,100.0,27,107,65,1.43,1,1,1,1,35.7,11.4,0,0,0.0,1,1,1,2,0.0,0,0.0,0.0,2,0,0,0.0,FW,3
29,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,6,2,194,2.2,0,1,0,33.3,0,0,14,0.0,0.0,0.0,40,49.1,82,657,176,19.1,22.7,84.0,20.0,22.7,88.0,1.36,3.18,42.9,0,0,2,0.0,0.0,3.18,49.1,40.5,8.18,1.36,0.0,0.0,0.91,6.82,0.0,0.0,0.0,0.0,40,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,0,1,0,0,0,1,50,0,1,0,1.82,0,3,1,0.0,63.6,3.18,18.2,37.3,9.09,1.82,63.6,1,0,33.3,0.91,66.7,39,208,101,1.82,0,0,1,0,34.5,3.64,0,0,0.0,0,0,0,0,0.91,0,0.0,0.0,5,0,1,33.3,DF,3
30,André Ayew,GHA,FW,Nott'ham Forest,Premier League,33,1989,2,0,29,0.3,0,0,0,0.0,0,0,0,0.0,0.0,0.0,6,6.67,100,60,16,6.67,6.67,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,6.67,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,0,0,3,0,3,3,100,0,0,0,0.0,0,3,3,0.0,13.3,3.33,3.33,10.0,0.0,0.0,13.3,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,3,0,0,0.0,0,0.0,0.0,0,3,6,33.3,FW,3
31,Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,MF,3
32,Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,19,2004,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,DF,3
33,Jaime Báez,URU,DF,Cremonese,Serie A,27,1995,2,1,96,1.1,0,1,0,0.0,0,0,23,0.0,0.0,0.0,29,43.6,66,581,344,7.27,9.09,80.0,11.8,15.5,76.5,6.36,12.7,50.0,0,1,6,1.82,1.82,3.64,43.6,40.0,3.64,1.82,0.0,0.0,8.18,0.0,1.82,0.0,0.91,0.0,29,0,1,4,1,2,0,0,0,0.0,0,0,0,0,0,0,0.0,3,1,2,0,0,2,5,50,2,0,0,0.0,0,3,1,0.91,56.4,2.73,9.09,33.6,14.5,1.82,56.4,1,0,50.0,0.0,0.0,30,179,112,4.55,2,0,0,0,30.9,7.27,0,0,0.0,0,0,0,8,1.82,0,0.0,0.0,4,0,0,100.0,DF,3
34,Eric Bailly,CIV,DF,Marseille,Ligue 1,28,1994,7,3,351,3.9,0,0,0,0.0,0,0,15,0.0,0.0,0.0,36,43.1,83,727,275,11.8,13.8,85.2,16.7,19.5,85.5,7.18,8.72,82.4,0,0,2,0.0,0.0,1.28,43.1,39.7,3.33,2.82,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,36,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,1,0,1,1,100,0,2,1,0.51,2,4,2,0.0,55.6,5.38,24.4,27.2,4.36,2.05,55.6,0,0,66.7,0.26,33.3,31,187,89,0.51,0,0,1,0,28.7,0.77,0,0,0.0,2,0,0,0,1.54,0,0.0,0.0,5,2,2,52.6,DF,3
